"","treatment","inoculum","Sample Id","Plant","Operator","Analysis Date Time","ImageFileName","ImageAcqDeviceAndSoftwareInfo DateTimeModified","AnalysedRegionArea(cm2)","AnalysedRegionWidth(cm)","AnalysedRegionHeight(cm)","Left Top Right Bottom  NExclusions","DevOrder Criteria","ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile]","PxClassif","Filters","Fractal PxMin PxMax","SoilVol(m3)","Length(cm)","LengthTen(cm)","ProjArea(cm2)","ProjAreaTen(cm2)/RatioLeafToRootArea","SurfArea(cm2)","SurfAreaTen(cm2)","AvgDiam(mm)","AvgDiamTen(mm)","LenPerVol(cm/m3)","LenPerVolTen(cm/m3)","RootVolume(cm3)","FractalDimension","FractalDeviation","Tips","Forks","Crossings","NofLinks","NLinksIL","NLinksEE","NLinksEEL","NLinksEI","NLinksII","LengthLinksIL","LengthLinksEE","LengthLinksEEL","LengthLinksEI","LengthLinksII","Altitude","ExternalPathLength","LinkAvgLength(cm)","LinkAvgProjArea(cm2)","LinkAvgSurfArea(cm2)","LinkAvgDiam(mm)","LinkAvgBrAngle(deg)","NofNodules","LeafArea","...54","NAxis","Main NAxis","Main TotLength","Lateral NAxis","Lateral TotLength","Tertiary NAxis","Tertiary TotLength","NSeedlings/Seedling#","NumberOfClasses","ClassBoundaries","LenTotHistoClasses","0<.L.<=0.5000000","0.5000000<.L.<=1.0000000","1.0000000<.L.<=1.5000000","1.5000000<.L.<=2.0000000","2.0000000<.L.<=2.5000000","2.5000000<.L.<=3.0000000","3.0000000<.L.<=3.5000000","3.5000000<.L.<=4.0000000","4.0000000<.L.<=4.5000000",".L.>4.5000000","SATotHistoClasses","0<.SA.<=0.5000000","0.5000000<.SA.<=1.0000000","1.0000000<.SA.<=1.5000000","1.5000000<.SA.<=2.0000000","2.0000000<.SA.<=2.5000000","2.5000000<.SA.<=3.0000000","3.0000000<.SA.<=3.5000000","3.5000000<.SA.<=4.0000000","4.0000000<.SA.<=4.5000000",".SA.>4.5000000","PATotHistoClasses","0<.PA.<=0.5000000","0.5000000<.PA.<=1.0000000","1.0000000<.PA.<=1.5000000","1.5000000<.PA.<=2.0000000","2.0000000<.PA.<=2.5000000","2.5000000<.PA.<=3.0000000","3.0000000<.PA.<=3.5000000","3.5000000<.PA.<=4.0000000","4.0000000<.PA.<=4.5000000",".PA.>4.5000000","VolTotHistoClasses","0<.V.<=0.5000000","0.5000000<.V.<=1.0000000","1.0000000<.V.<=1.5000000","1.5000000<.V.<=2.0000000","2.0000000<.V.<=2.5000000","2.5000000<.V.<=3.0000000","3.0000000<.V.<=3.5000000","3.5000000<.V.<=4.0000000","4.0000000<.V.<=4.5000000",".V.>4.5000000","0<.T.<=0.5000000","0.5000000<.T.<=1.0000000","1.0000000<.T.<=1.5000000","1.5000000<.T.<=2.0000000","2.0000000<.T.<=2.5000000","2.5000000<.T.<=3.0000000","3.0000000<.T.<=3.5000000","3.5000000<.T.<=4.0000000","4.0000000<.T.<=4.5000000",".T.>4.5000000","GrpName...119","Background","GrpName...121","Root","GrpName...123","NotUsed"
"1","BV","AB1","Plant1_AB1_BV",1,"Davide","20/10/2023 16:24:08","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-137","Smooth Off Area Off LWRatio Off","Off",0.000931,585.3215,0,22.9307,0,72.0389,0,0.3918,0,628701.9051,0,0.706,0,0,3182,4369,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",584.8939,450.8405,100.496,22.7828,4.7332,1.7083,0.8227,2.138,0.9093,0.1974,0.2656,65.3269,26.4507,22.1945,8.3967,2.4828,1.1943,0.6826,2.1959,1.0625,0.2721,0.3949,20.7942,8.4195,7.0647,2.6727,0.7903,0.3802,0.2173,0.699,0.3382,0.0866,0.1257,1.4148,0.1868,0.4066,0.2501,0.1043,0.0667,0.045,0.1796,0.0989,0.0299,0.0469,3126,42,6,3,2,1,0,2,0,0,NA,NA,NA,NA,NA,NA
"2","BV","AB1","Plant2_AB1_BV",2,"Davide","20/10/2023 16:31:33","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-143","Smooth Off Area Off LWRatio Off","Off",0.000931,1949.7263,0,70.5943,0,221.7786,0,0.3621,0,2094228.0567,0,2.008,0,0,10454,14589,1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",1948.7151,1618.6888,217.6426,65.8413,20.4623,8.0807,2.8294,2.9117,3.3005,1.2422,7.7155,198.4807,86.5524,46.2847,25.0696,10.9616,5.5897,2.3987,2.9582,3.8306,1.6018,13.2333,63.1784,27.5505,14.7329,7.9799,3.4892,1.7793,0.7635,0.9416,1.2193,0.5099,4.2123,5.6566,0.5498,0.8167,0.769,0.4702,0.3089,0.1623,0.2396,0.3545,0.1643,1.8212,10357,77,14,2,2,0,0,1,0,1,NA,NA,NA,NA,NA,NA
"3","BV","AB1","Plant3_AB1_BV",3,"Davide","20/10/2023 16:39:21","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-141","Smooth Off Area Off LWRatio Off","Off",0.000931,1022.6298,0,38.6813,0,121.5209,0,0.3783,0,1098420.8907,0,1.149,0,0,5156,8582,998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",1022.1407,850.7379,113.7325,32.5242,12.6054,5.303,1.4506,0.5666,0.735,0.5177,3.9679,108.1101,50.1515,24.1416,12.3555,6.675,3.7197,1.2317,0.5659,0.8512,0.6764,7.7415,34.4125,15.9637,7.6845,3.9329,2.1247,1.184,0.3921,0.1801,0.2709,0.2153,2.4642,3.1724,0.3412,0.4256,0.379,0.2832,0.2086,0.0834,0.0451,0.0786,0.0704,1.2574,5106,38,5,4,2,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"4","BV","AB1","Plant4_AB1_BV",4,"Davide","20/10/2023 16:50:34","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-138","Smooth Off Area Off LWRatio Off","Off",0.000931,1695.3155,0,81.5705,0,256.2612,0,0.4812,0,1820961.8295,0,3.083,0,0,6540,10318,936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",1694.5721,1257.8632,288.5011,90.2389,23.4155,13.9958,7.4751,3.0152,3.0097,1.045,6.0127,231.4689,84.6731,63.5326,34.1856,12.514,9.9024,6.4115,3.0535,3.5321,1.4148,12.2494,73.6788,26.9523,20.2231,10.8816,3.9833,3.152,2.0408,0.972,1.1243,0.4503,3.8991,7.1247,0.6123,1.1592,1.0439,0.536,0.5598,0.4387,0.2465,0.3301,0.1525,2.0459,6422,92,12,9,2,1,1,0,0,1,NA,NA,NA,NA,NA,NA
"5","BV","AB1","Plant5_AB1_BV",5,"Davide","20/10/2023 16:58:01","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-140","Smooth Off Area Off LWRatio Off","Off",0.000931,1392.9876,0,57.1632,0,179.5834,0,0.4104,0,1496227.2381,0,1.842,0,0,6161,9903,1115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",1392.357,1100.7879,198.0966,57.1307,16.0068,9.1844,1.6333,2.9188,1.2202,1.1113,4.267,161.8323,66.109,42.8945,21.4168,8.7777,6.2788,1.4115,3.0311,1.4175,1.5045,8.991,51.5128,21.0431,13.6538,6.8172,2.794,1.9986,0.4493,0.9648,0.4512,0.4789,2.8619,4.8092,0.4528,0.7694,0.6464,0.3861,0.3427,0.0975,0.2509,0.1312,0.1623,1.57,6084,58,11,4,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA
"6","BV","AB21","Plant1_AB21_BV",1,"Davide","19/10/2023 12:01:40","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-142","Smooth Off Area Off LWRatio Off","Off",0.000931,1649.1786,0,61.1872,0,192.2253,0,0.371,0,1771405.5378,0,1.783,0,0,6931,11911,1465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",1648.7934,1340.4775,242.6859,41.4167,9.7933,6.3996,2.4237,2.0436,0.7501,1.1936,1.6094,167.1939,78.2387,53.3508,15.2897,5.3837,4.4943,2.1373,2.0643,0.9001,1.5909,3.7441,53.2195,24.9041,16.9821,4.8669,1.7137,1.4306,0.6803,0.6571,0.2865,0.5064,1.1918,3.7349,0.508,0.9689,0.4553,0.2371,0.2523,0.1505,0.1664,0.086,0.1689,0.7414,6856,53,14,6,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"7","BV","AB21","Plant2_AB21_BV_Part1",2,"Davide","19/10/2023 12:10:38","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-142","Smooth Off Area Off LWRatio Off","Off",0.000931,1597.8485,0,55.76,0,175.1752,0,0.349,0,1716271.1662,0,1.528,0,0,5826,11430,1356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",1597.2896,1332.0148,195.0221,45.4768,12.4517,5.8195,3.1519,0.3659,0.2637,0,2.7233,156.7975,78.7038,41.8034,17.0335,6.7263,4.0342,2.6237,0.3865,0.3237,0,5.1623,49.9102,25.0522,13.3064,5.4219,2.141,1.2841,0.8352,0.123,0.103,0,1.6432,3.2902,0.5192,0.7404,0.5145,0.2911,0.2237,0.1743,0.0326,0.0316,0,0.7629,5780,37,6,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"8","BV","AB21","Plant2_AB21_BV_Part2",2,"Davide","19/10/2023 12:56:48","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-142","Smooth Off Area Off LWRatio Off","Off",0.000931,931.6318,0,23.8621,0,74.965,0,0.2561,0,1000678.6175,0,0.48,0,0,4774,7733,1196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",931.3815,845.8477,66.3907,13.5782,3.3628,1.3452,0.3205,0.0317,0,0.0644,0.4402,65.3,42.0405,14.1952,5.2396,1.8263,0.8875,0.2824,0.0328,0,0.0876,0.7082,20.7856,13.3819,4.5185,1.6678,0.5813,0.2825,0.0899,0.0105,0,0.0279,0.2254,0.9023,0.2409,0.2502,0.1631,0.0795,0.0467,0.0198,0.0027,0,0.0095,0.0898,4753,16,4,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"9","BV","AB21","Plant3_AB21_BV",3,"Davide","19/10/2023 14:49:56","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-143","Smooth Off Area Off LWRatio Off","Off",0.000931,2024.8901,0,71.8771,0,225.8087,0,0.355,0,2174962.5323,0,2.004,0,0,9746,15474,1891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",2024.3062,1672.1115,236.7154,82.0561,18.1239,6.543,4.1029,1.3917,1.3324,0.6692,1.2602,200.961,95.1589,51.1969,30.9921,9.7353,4.5802,3.4988,1.387,1.5344,0.8817,1.9958,63.9679,30.29,16.2965,9.8651,3.0989,1.4579,1.1137,0.4415,0.4884,0.2806,0.6353,3.9789,0.6099,0.9173,0.9429,0.4187,0.2562,0.2378,0.1102,0.1407,0.0925,0.2526,9666,63,9,4,2,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"10","BV","AB21","Plant4_AB21_BV_Part1",4,"Davide","19/10/2023 15:01:08","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-144","Smooth Off Area Off LWRatio Off","Off",0.000931,1800.3659,0,68.0975,0,213.9347,0,0.3782,0,1933797.9359,0,2.023,0,0,7408,10846,1272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",1799.7036,1459.4366,256.1814,52.7309,13.5201,7.4299,3.5797,3.0183,1.1545,0.9405,1.7117,189.0315,89.3959,55.1698,19.8286,7.1116,5.081,3.0957,3.0915,1.3549,1.283,3.6193,60.1706,28.4556,17.5611,6.3117,2.2637,1.6173,0.9854,0.9841,0.4313,0.4084,1.152,4.1268,0.6016,0.9812,0.6012,0.2991,0.2778,0.2135,0.2526,0.1267,0.1394,0.6336,7336,58,8,3,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA
