"","treatment","inoculum","length_mean","length_se","avgDiam_mean","avgDiam_se","rootVolume_mean","rootVolume_se","FRL_mean","FRL_se","CRL_mean","CRL_se","FRS_mean","FRS_se","CRS_mean","CRS_se","FVOL_mean","FVOL_se","lenPerVol_mean","lenPerVol_se"
"1","BV","AB1",1329.19614,241.919699121578,0.40476,0.0206916069941414,1.7576,0.406372070890705,1308.62564,237.327710612129,14.64166,3.8536196619023,131.16398,24.6101583668492,12.26388,3.20172584997529,6294.4,1190.93986414092,1.42770799140709,0.259849300882467
"2","BV","AB21",2190.82444,228.384550477668,0.33957,0.012469859662402,2.0388,0.238175859398051,2173.02316,226.533325497682,13.92538,2.25272229056313,191.65904,20.1995203733306,11.33006,2.02208696885174,9859.2,868.122710220162,2.35319488721804,0.245311010180095
"3","BV","NI",3768.98403333333,304.360114952659,0.29415,0.0175782820548539,2.65216666666667,0.42479653299485,3741.24631666667,301.626906204348,21.9025666666667,5.3053152472256,283.580516666667,29.4928607037298,18.1955833333333,4.31580276274814,21808.5,1570.34687781607,4.04831797350519,0.326917416705327
"4","BV+F35","AB1",1722.00762,118.92679090309,0.35164,0.00748402298232708,1.6762,0.138578281126589,1704.51846,117.680478554808,13.16844,1.11196246321537,152.76126,11.6436383138004,11.46548,0.93387745148922,8969.8,390.08734919246,1.84963224489796,0.127740913966798
"5","BV+F35","AB21",1643.4982,179.314980557208,0.34874,0.0117553647327507,1.5474,0.143237425277055,1630.25334,178.841775727582,10.55256,1.97948283513649,147.54904,14.4682976265558,8.69476,1.63109291629876,7100.8,959.039540373597,1.76530418904404,0.192604705217195
"6","BV+F35","NI",3607.01681666667,195.393759555887,0.336841666666667,0.0108539502537607,3.341,0.353494460116893,3571.30988333333,191.333998533931,25.2211166666667,4.12593960502063,305.630583333333,23.0160460381219,20.9990833333333,3.44743264758155,20323.3333333333,680.534773378832,3.87434674185464,0.209875144528343
"7","Control","AB1",1838.3757,203.845074214339,0.4183,0.0107121737601043,2.504,0.256380446472295,1806.9781,200.833892025908,21.9911833333333,2.22027096821036,180.287266666667,17.8215601980984,18.6329666666667,1.86389975815344,8882.33333333333,1221.86291284161,1.97462481203007,0.218952818704982
"8","Control","AB21",2066.7372,496.766994485941,0.38095,0.0145746297837487,2.22433333333333,0.488983412579382,2038.37836666667,491.061099594811,23.8513,4.7580113935691,188.210333333333,43.6923656615102,19.9758,3.68760859645742,9255,2298.07426627891,2.21991106337272,0.533584312014975
"9","Control","NI",4713.66691666667,334.757783967723,0.327733333333333,0.0094906767116178,4.02633333333333,0.443979403926704,4671.16836666667,330.877758134375,34.7175166666667,4.29072676729842,380.817,32.178454671493,28.95015,3.60866773936957,21029.8333333333,2219.35009130551,5.0630149480845,0.359567974186599
"10","F35","AB1",2358.3398,377.807888548421,0.39623,0.0084336765411059,2.9174,0.503354109946467,2319.29174,370.444325928737,30.38144,6.46265507292475,223.69056,35.8409703082324,25.4997,5.20040627739795,10765.8,1749.27117394645,2.53312545649839,0.405808688021933
"11","F35","AB21",2057.48238,166.829279329479,0.33651,0.0086058177996051,1.913,0.26583096132693,2036.356,163.042179161314,16.1873,3.74364517402491,177.44216,17.4621619299158,13.71416,3.03296261394696,8543.6,554.822728445762,2.2099703329753,0.179193640525757
"12","F35","NI",3312.20393333333,387.576055582717,0.329866666666667,0.00678013847777299,2.84983333333333,0.397496198444435,3274.80036666667,381.51223732586,27.4504333333333,5.03708554349084,266.82855,32.3490321014684,22.6185666666667,4.53560288404726,18555.6666666667,2037.64322468658,3.55768413891873,0.416300811581866
"13","Kalex","AB1",1072.43495,103.040965389353,0.516933333333333,0.0259780890581103,2.19483333333333,0.152452706692199,1040.52711666667,102.828672526163,23.5579666666667,2.32466426546095,117.453716666667,9.87366050484543,20.3197833333333,2.11263630730527,4783.83333333333,529.709191705957,1.15191723952739,0.110677728667404
"14","Kalex","AB21",2403.18796666667,338.287557092103,0.351408333333333,0.0157864309702281,2.361,0.440926373294529,2376.46105,332.995555454999,21.73225,5.91034461593964,211.562016666667,32.5420333572588,18.31375,4.86117401545141,10666.6666666667,1504.2733941822,2.58129749373434,0.363359352408274
"15","Kalex","NI",4232.31093333333,112.467586761691,0.293733333333333,0.0106206533592702,2.878,0.186523278261276,4193.92656666667,112.703450036931,29.37785,4.15257641637494,307.30745,9.97137359149514,24.1668333333333,3.39452301427527,23174.6666666667,1375.82372094361,4.54598381668457,0.120802993299347
"16","Ridomil","AB1",1037.64083333333,101.251234589074,0.43075,0.0149923702818022,1.48966666666667,0.124331992843533,1015.80451666667,99.8593673492892,16.3478666666667,2.54352797477135,104.243333333333,8.41138064139559,13.8113666666667,2.07698193342595,4366.83333333333,414.523776291676,1.11454439670605,0.108755354016192
"17","Ridomil","AB21",1544.28441666667,138.512512436868,0.375066666666667,0.00991415374323217,1.7155,0.182890632163961,1525.00115,137.100184766697,16.3430333333333,2.20164360356328,145.9442,14.5514343309517,13.6123166666667,1.90398034170816,7548.33333333333,839.007297015017,1.6587372896527,0.148778208847335
"18","Ridomil","NI",3184.24905,332.926855462967,0.28205,0.00516660752654325,1.98416666666667,0.157671053497816,3164.50946666667,331.365398014265,15.38245,2.03803599964116,231.755966666667,20.9057831354973,12.9232333333333,1.9507244190585,18044.5,1962.31436064663,3.42024602577873,0.357601348510168
