"","plant","inoculum","treatment","length","avgDiam","rootVolume","tips","forks","crossings","FRL","CRL","FRS","CRS","FVOL","lenPerVol"
"1","1","AB1","BV",585.3215,0.3918,0.706,3182,457,628701.9051,578.8525,5.5783,59.5247,5.1353,3177,0.628701933404941
"2","1","AB1","BV+F35",1996.3981,0.355,1.976,9609,2100,2144358.8737,1974.1166,16.255,178.1733,14.3091,9607,2.14435886143931
"3","1","AB1","Control",1869.6568,0.4644,3.167,8394,1275,2008224.2524,1823.8553,27.7309,190.2988,23.7155,8390,2.00822427497315
"4","1","AB1","F35",3531.5219,0.40655,4.584,16592,2716,3793256.6128,3462.0785,52.8281,334.6691,43.7032,16584,3.79325660580021
"5","1","AB1","Kalex",922.2247,0.5601,2.272,4329,407,990574.3354,886.5624,27.7028,101.5874,24.2277,4324,0.99057432867884
"6","1","AB1","Ridomil",1147.1551,0.3896,1.367,5302,873,1232175.2211,1124.3813,19.6398,108.6768,15.6893,5296,1.23217518796992
"7","1","AB21","BV",1649.1786,0.371,1.783,6931,1465,1771405.5378,1634.3734,11.617,152.2629,9.596,6929,1.77140558539205
"8","1","AB21","BV+F35",1954.6429,0.3345,1.718,8956,1649,2099509.0682,1942.0048,9.2113,171.149,7.237,8952,2.09950902255639
"9","1","AB21","Control",357.5968,0.425,0.507,1934,244,384099.6733,349.0132,7.3302,35.5037,6.7358,1929,0.384099677765843
"10","1","AB21","F35",2477.926,0.35715,2.763,9629,1727,2661574.5982,2444.5535,26.4226,228.4712,20.9365,9620,2.661574650913
"11","1","AB21","Kalex",2656.668,0.3254,2.209,11074,2721,2853563.9261,2640.2931,10.0508,222.8456,8.576,11072,2.85356390977444
"12","1","AB21","Ridomil",1838.6183,0.3901,2.198,8611,1283,1974885.4168,1817.3891,15.4771,180.8797,12.5875,8610,1.97488539205156
"13","1","NI","BV",4604.4463,0.30815,3.415,26547,5838,4945699.4888,4564.0815,32.1822,350.7223,26.8882,26541,4.94569957035446
"14","1","NI","BV+F35",4258.9768,0.36465,4.476,21369,5594,4574626.0198,4208.2619,38.0165,382.7789,30.8985,21365,4.57462599355532
"15","1","NI","Control",4257.9733,0.3441,3.961,13008,7267,4573548.1531,4233.5606,19.4429,370.2783,15.5296,13007,4.57354812030075
"16","1","NI","F35",3006.3061,0.3331,2.609,18633,2717,3229115.1373,2971.2223,25.2493,242.6428,20.4725,18630,3.22911503759398
"17","1","NI","Kalex",4400.9899,0.2855,2.817,26344,8379,4727164.1782,4353.1652,40.734,307.02,34.0321,26337,4.72716423200859
"18","1","NI","Ridomil",4272.8547,0.2766,2.618,24598,6956,4589532.4565,4243.422,24.3017,301.0157,22.0704,24594,4.58953243823845
"19","2","AB1","BV",1949.7263,0.3621,2.008,10454,1938,2094228.0567,1922.635,17.1223,168.8683,14.7772,10450,2.09422803437164
