"","treatment","inoculum","sample_Id","plant","length","avgDiam","rootVolume","lenPerVol","tips","forks","crossings","FRL","CRL","FRS","CRS","FVOL"
"1","BV","AB1","Plant1_AB1_BV",1,585.3215,0.3918,0.706,4369,3182,457,628701.9051,578.8525,5.5783,59.5247,5.1353,3177
"2","BV","AB1","Plant2_AB1_BV",2,1949.7263,0.3621,2.008,14589,10454,1938,2094228.0567,1922.635,17.1223,168.8683,14.7772,10450
"3","BV","AB1","Plant3_AB1_BV",3,1022.6298,0.3783,1.149,8582,5156,998,1098420.8907,1009.6,8.0552,93.3236,6.3685,5153
"4","BV","AB1","Plant4_AB1_BV",4,1695.3155,0.4812,3.083,10318,6540,936,1820961.8295,1660.0187,27.4958,194.9053,22.8995,6535
"5","BV","AB1","Plant5_AB1_BV",5,1392.9876,0.4104,1.842,9903,6161,1115,1496227.2381,1372.022,14.9567,139.198,12.1389,6157
"6","BV","AB21","Plant1_AB21_BV",1,1649.1786,0.371,1.783,11911,6931,1465,1771405.5378,1634.3734,11.617,152.2629,9.596,6929
"7","BV","AB21","Plant2_AB21_BV_Part1",2,1597.8485,0.349,1.528,11430,5826,1356,1716271.1662,1584.9654,9.601,144.267,7.3681,5824
"8","BV","AB21","Plant2_AB21_BV_Part2",2,931.6318,0.2561,0.48,7733,4774,1196,1000678.6175,929.1794,1.6974,63.3016,1.2027,4773
"9","BV","AB21","Plant3_AB21_BV",3,2024.8901,0.355,2.004,15474,9746,1891,2174962.5323,2009.0069,13.37,187.0832,11.0004,9742
"10","BV","AB21","Plant4_AB21_BV_Part1",4,1800.3659,0.3782,2.023,10846,7408,1272,1933797.9359,1781.869,15.1824,171.5059,12.6231,7405
"11","BV","AB21","Plant4_AB21_BV_Part2",4,1094.3123,0.3216,0.889,8310,4887,1040,1175416.0141,1085.5317,7.5663,88.6846,6.569,4886
"12","BV","AB21","Plant5_AB21_BV",5,1855.895,0.3194,1.487,14514,9742,2008,1993442.584,1840.19,10.5928,151.19,8.291,9737
"13","BV","NI","Plant1_NI_BV_Part1",1,2565.768,0.3,1.813,23572,13831,3211,2755926.918,2550.2613,10.8381,193.766,9.5348,13828
"14","BV","NI","Plant1_NI_BV_Part2",1,2038.6783,0.3163,1.602,19535,12716,2627,2189772.5708,2013.8202,21.3441,156.9563,17.3534,12713
"15","BV","NI","Plant2_NI_BV_Part1",2,2269.0424,0.2967,1.569,17221,11363,2614,2437209.9339,2253.259,12.3613,171.8304,11.1668,11362
"16","BV","NI","Plant2_NI_BV_Part2",2,1801.4535,0.2721,1.047,14983,11167,2154,1934966.2183,1790.0066,8.7518,125.3044,7.3666,11165
"17","BV","NI","Plant3_NI_BV_Part1",3,1872.93,0.3853,2.184,13651,8132,1521,2011740.0675,1849.5537,20.841,181.4334,16.6212,8130
"18","BV","NI","Plant3_NI_BV_Part2",3,2047.2553,0.3624,2.112,16226,10803,1814,2198985.2836,2020.9011,21.4077,180.9105,17.6193,10800
"19","BV","NI","Plant4_NI_BV",4,2467.807,0.2738,1.453,23440,15952,3549,2650705.7279,2451.5809,9.5576,168.3259,8.0168,15951
"20","BV","NI","Plant5_NI_BV_Part1",5,2273.2435,0.269,1.292,17779,12767,2771,2441722.3427,2264.6553,7.3712,163.4214,5.8858,12766
"21","BV","NI","Plant5_NI_BV_Part2",5,1872.4695,0.2362,0.82,14982,11925,2172,2011245.3817,1868.9085,2.723,119.7223,2.5048,11925
"22","BV","NI","Plant6_NI_BV_Part1",6,2348.897,0.2793,1.439,22539,14948,3315,2522982.8177,2333.595,11.6018,166.5594,9.2832,14944
"23","BV","NI","Plant6_NI_BV_Part2",6,1056.3597,0.2649,0.582,10979,7267,1495,1134650.6279,1050.9363,4.6178,73.2531,3.8208,7267
"24","BV+F35","AB1","Plant1_AB1_BV+F35",1,1996.3981,0.355,1.976,16228,9609,2100,2144358.8737,1974.1166,16.255,178.1733,14.3091,9607
"25","BV+F35","AB1","Plant2_AB1_BV+F35",2,1798.989,0.3692,1.926,11051,9079,1285,1932319.0607,1779.8227,15.1401,167.3623,12.8701,9075
"26","BV+F35","AB1","Plant3_AB1_BV+F35",3,1899.4779,0.3461,1.787,12747,9651,1549,2040255.4783,1881.6042,12.6729,168.3356,10.282,9646
"27","BV+F35","AB1","Plant4_AB1_BV+F35",4,1580.7179,0.3259,1.319,10949,9025,1254,1697871.0347,1568.0733,10.3125,130.6677,9.1311,9023
"28","BV+F35","AB1","Plant5_AB1_BV+F35",5,1334.4552,0.362,1.373,9535,7500,1176,1433356.8371,1318.9755,11.4617,119.2674,10.7351,7498
"29","BV+F35","AB21","Plant1_AB21_BV+F35",1,1954.6429,0.3345,1.718,13112,8956,1649,2099509.0682,1942.0048,9.2113,171.149,7.237,8952
"30","BV+F35","AB21","Plant2_AB21_BV+F35",2,1115.6019,0.3844,1.295,6195,4290,652,1198283.4748,1104.0927,8.7866,110.1248,7.414,4287
"31","BV+F35","AB21","Plant3_AB21_BV+F35",3,1985.8201,0.3601,2.022,11528,8327,1441,2132996.8698,1966.1435,17.533,184.3139,14.062,8325
"32","BV+F35","AB21","Plant4_AB21_BV+F35",4,1847.662,0.3147,1.438,10942,8633,1540,1984599.3337,1839.191,5.6815,153.6046,4.4494,8631
"33","BV+F35","AB21","Plant5_AB21_BV+F35",5,1313.7641,0.35,1.264,6650,5312,850,1411132.2625,1299.8347,11.5504,118.5529,10.3114,5309
"34","BV+F35","NI","Plant1_NI_BV+F35_Part1",1,2186.3807,0.3853,2.55,23476,11113,3138,2348421.7851,2157.0205,23.4463,209.0826,18.3588,11109
"35","BV+F35","NI","Plant1_NI_BV+F35_Part2",1,2072.5961,0.344,1.926,19165,10256,2456,2226204.2347,2051.2414,14.5702,173.6963,12.5397,10256
"36","BV+F35","NI","Plant2_NI_BV+F35_Part1",2,2304.138,0.3183,1.833,21193,11875,2888,2474906.5981,2287.9068,11.133,189.9713,8.4412,11873
"37","BV+F35","NI","Plant2_NI_BV+F35_Part2",2,1183.6334,0.3363,1.051,8780,6049,1102,1271356.9921,1177.1721,4.9186,104.1057,4.5475,6048
"38","BV+F35","NI","Plant3_NI_BV+F35_Part1",3,2547.8424,0.3424,2.346,23830,14199,3297,2736672.8013,2524.2581,17.9102,220.8926,14.5618,14196
"39","BV+F35","NI","Plant3_NI_BV+F35_Part2",3,963.8832,0.2856,0.617,7231,6151,953,1035320.335,955.5969,6.5784,67.9532,6.0351,6150
"40","BV+F35","NI","Plant4_NI_BV+F35_Part1",4,2512.8732,0.3669,2.657,21593,13576,2724,2699111.9526,2479.3859,23.9293,217.1036,20.6215,13574
"41","BV+F35","NI","Plant4_NI_BV+F35_Part2",4,1598.0043,0.3684,1.704,12800,8847,1628,1716438.5285,1582.1153,10.9225,148.5035,9.0397,8844
"42","BV+F35","NI","Plant5_NI_BV+F35_Part1",5,1921.9064,0.363,1.989,15431,11257,1816,2064346.3155,1891.0437,19.2676,157.9639,16.4994,11254
"43","BV+F35","NI","Plant5_NI_BV+F35_Part2",5,1206.5145,0.3258,1.006,10538,7605,1398,1295933.9649,1197.2213,6.4438,95.5804,5.2426,7604
"44","BV+F35","NI","Plant6_NI_BV+F35_Part1",6,1858.5768,0.3318,1.607,15421,11973,2004,1996323.1433,1846.6857,7.2686,158.051,6.2443,11971
"45","BV+F35","NI","Plant6_NI_BV+F35_Part2",6,1285.7519,0.2743,0.76,10881,9061,1564,1381043.9445,1278.2116,4.9382,90.8794,3.8629,9061
"46","Control","AB1","Plant1_AB1_Control",1,1869.6568,0.4644,3.167,13392,8394,1275,2008224.2524,1823.8553,27.7309,190.2988,23.7155,8390
"47","Control","AB1","Plant2_AB1_Control",2,1037.3723,0.4332,1.529,5851,4876,465,1114255.9606,1017.7742,15.3155,107.8838,13.3516,4873
