"","Combination","Variable","W_statistic","p_value"
"W","Treatment - BV | Inoculum - AB1","length",0.97665804412377,0.916000328004589
"W1","Treatment - BV | Inoculum - AB1","avgDiam",0.882029286320634,0.31860812317548
"W2","Treatment - BV | Inoculum - AB1","rootVolume",0.967067604201614,0.856120524251749
"W3","Treatment - BV | Inoculum - AB1","FRL",0.97892040838603,0.928762081810679
"W4","Treatment - BV | Inoculum - AB1","CRL",0.945269645524007,0.703392066224798
"W5","Treatment - BV | Inoculum - AB1","FRS",0.966713770167763,0.853772766582614
"W6","Treatment - BV | Inoculum - AB1","CRS",0.933774913782797,0.6223289004593
"W7","Treatment - BV | Inoculum - AB1","FVOL",0.941343427400719,0.675451441866578
"W8","Treatment - BV | Inoculum - AB1","lenPerVol",0.97665804412377,0.916000328004589
"W9","Treatment - BV | Inoculum - AB1","weight",0.963749744566122,0.833822496750514
"W10","Treatment - BV+F35 | Inoculum - AB1","length",0.944507575662709,0.697956304434672
"W11","Treatment - BV+F35 | Inoculum - AB1","avgDiam",0.949674115280714,0.734859955084497
"W12","Treatment - BV+F35 | Inoculum - AB1","rootVolume",0.846335984209544,0.183211987474212
"W13","Treatment - BV+F35 | Inoculum - AB1","FRL",0.943156255487919,0.688330624080117
"W14","Treatment - BV+F35 | Inoculum - AB1","CRL",0.946281777614612,0.710617799137372
"W15","Treatment - BV+F35 | Inoculum - AB1","FRS",0.858332931983015,0.22232457936269
"W16","Treatment - BV+F35 | Inoculum - AB1","CRS",0.947895407427027,0.722147339990104
"W17","Treatment - BV+F35 | Inoculum - AB1","FVOL",0.808481986671509,0.0948448185647933
"W18","Treatment - BV+F35 | Inoculum - AB1","lenPerVol",0.94450757566271,0.697956304434674
"W19","Treatment - BV+F35 | Inoculum - AB1","weight",0.900346178560419,0.411801818787041
"W20","Treatment - Control | Inoculum - AB1","length",0.968859395548599,0.884686693145402
"W21","Treatment - Control | Inoculum - AB1","avgDiam",0.8553226444415,0.173687477062704
"W22","Treatment - Control | Inoculum - AB1","rootVolume",0.919639305287831,0.502766904654846
"W23","Treatment - Control | Inoculum - AB1","FRL",0.966097146738416,0.865266372468971
"W24","Treatment - Control | Inoculum - AB1","CRL",0.924836278200612,0.540855150963002
"W25","Treatment - Control | Inoculum - AB1","FRS",0.969863942973247,0.891519199575817
"W26","Treatment - Control | Inoculum - AB1","CRS",0.900353360128726,0.376022850211051
"W27","Treatment - Control | Inoculum - AB1","FVOL",0.99038118474555,0.990083388221873
"W28","Treatment - Control | Inoculum - AB1","lenPerVol",0.968859395548598,0.884686693145399
"W29","Treatment - Control | Inoculum - AB1","weight",0.961960837860229,0.834718339587772
"W30","Treatment - F35 | Inoculum - AB1","length",0.96900863753814,0.868853479247268
"W31","Treatment - F35 | Inoculum - AB1","avgDiam",0.961917908459659,0.821271928257609
"W32","Treatment - F35 | Inoculum - AB1","rootVolume",0.960517098497541,0.81157955667708
"W33","Treatment - F35 | Inoculum - AB1","FRL",0.969358636493178,0.871121421596457
"W34","Treatment - F35 | Inoculum - AB1","CRL",0.916050330743056,0.504787478842572
"W35","Treatment - F35 | Inoculum - AB1","FRS",0.938782036432346,0.657340441413891
"W36","Treatment - F35 | Inoculum - AB1","CRS",0.899175601004096,0.405345850028266
"W37","Treatment - F35 | Inoculum - AB1","FVOL",0.971078023708493,0.882126637687122
"W38","Treatment - F35 | Inoculum - AB1","lenPerVol",0.969008637538139,0.868853479247263
"W39","Treatment - F35 | Inoculum - AB1","weight",0.880125001646273,0.309877826676646
"W40","Treatment - Kalex | Inoculum - AB1","length",0.907774090209164,0.421915144506405
"W41","Treatment - Kalex | Inoculum - AB1","avgDiam",0.907379119409889,0.419379732596493
"W42","Treatment - Kalex | Inoculum - AB1","rootVolume",0.9705587832296,0.896166848092946
"W43","Treatment - Kalex | Inoculum - AB1","FRL",0.902264862939537,0.387490465308576
"W44","Treatment - Kalex | Inoculum - AB1","CRL",0.84503196674373,0.143416790673788
"W45","Treatment - Kalex | Inoculum - AB1","FRS",0.937309946681877,0.637607635973561
"W46","Treatment - Kalex | Inoculum - AB1","CRS",0.854958462890647,0.172529116110546
"W47","Treatment - Kalex | Inoculum - AB1","FVOL",0.821930832031033,0.0917072401911761
"W48","Treatment - Kalex | Inoculum - AB1","lenPerVol",0.907774090209163,0.421915144506401
"W49","Treatment - Kalex | Inoculum - AB1","weight",0.896121113896761,0.351510043302836
"W50","Treatment - Ridomil | Inoculum - AB1","length",0.941407681147599,0.670561019143406
"W51","Treatment - Ridomil | Inoculum - AB1","avgDiam",0.940651876439442,0.664455850171798
"W52","Treatment - Ridomil | Inoculum - AB1","rootVolume",0.963883182982587,0.849110070234256
"W53","Treatment - Ridomil | Inoculum - AB1","FRL",0.93683349980628,0.633803381840092
"W54","Treatment - Ridomil | Inoculum - AB1","CRL",0.992936839111197,0.995111380752438
"W55","Treatment - Ridomil | Inoculum - AB1","FRS",0.929294358342807,0.57466365942577
"W56","Treatment - Ridomil | Inoculum - AB1","CRS",0.971791078770472,0.904242913467706
"W57","Treatment - Ridomil | Inoculum - AB1","FVOL",0.884958131977505,0.29260725113842
"W58","Treatment - Ridomil | Inoculum - AB1","lenPerVol",0.9414076811476,0.670561019143413
"W59","Treatment - Ridomil | Inoculum - AB1","weight",0.882873872474102,0.282515970049593
"W60","Treatment - BV | Inoculum - AB21","length",0.940251897126021,0.667719720635877
"W61","Treatment - BV | Inoculum - AB21","avgDiam",0.94065904644769,0.670601476259959
"W62","Treatment - BV | Inoculum - AB21","rootVolume",0.883902570025706,0.327371131020162
"W63","Treatment - BV | Inoculum - AB21","FRL",0.939921517802418,0.665383393081215
"W64","Treatment - BV | Inoculum - AB21","CRL",0.725199282272818,0.0172542176676768
"W65","Treatment - BV | Inoculum - AB21","FRS",0.902002529541245,0.421052376171888
"W66","Treatment - BV | Inoculum - AB21","CRS",0.750037955314178,0.0297872450720145
"W67","Treatment - BV | Inoculum - AB21","FVOL",0.943637031600308,0.69175311470236
"W68","Treatment - BV | Inoculum - AB21","lenPerVol",0.940251897126021,0.667719720635875
"W69","Treatment - BV | Inoculum - AB21","weight",0.955364057106978,0.775389942988809
"W70","Treatment - BV+F35 | Inoculum - AB21","length",0.835642035951093,0.153231572608258
"W71","Treatment - BV+F35 | Inoculum - AB21","avgDiam",0.99743688935256,0.998133575292493
"W72","Treatment - BV+F35 | Inoculum - AB21","rootVolume",0.894637717302871,0.380961596835978
"W73","Treatment - BV+F35 | Inoculum - AB21","FRL",0.82838373466392,0.135283351504451
"W74","Treatment - BV+F35 | Inoculum - AB21","CRL",0.931522551368205,0.606789593696424
"W75","Treatment - BV+F35 | Inoculum - AB21","FRS",0.918266454736354,0.518818665713041
"W76","Treatment - BV+F35 | Inoculum - AB21","CRS",0.955668362259245,0.777545205986768
"W77","Treatment - BV+F35 | Inoculum - AB21","FVOL",0.827841532079913,0.134015972714224
"W78","Treatment - BV+F35 | Inoculum - AB21","lenPerVol",0.835642035951092,0.153231572608255
"W79","Treatment - BV+F35 | Inoculum - AB21","weight",0.942133029719087,0.681055752512201
"W80","Treatment - Control | Inoculum - AB21","length",0.949566199077619,0.73676726794804
"W81","Treatment - Control | Inoculum - AB21","avgDiam",0.74856413889143,0.0192853180757496
"W82","Treatment - Control | Inoculum - AB21","rootVolume",0.887059098612048,0.303064257241786
"W83","Treatment - Control | Inoculum - AB21","FRL",0.948811816026946,0.730649397379864
"W84","Treatment - Control | Inoculum - AB21","CRL",0.984361082387983,0.971069714215544
"W85","Treatment - Control | Inoculum - AB21","FRS",0.913532848893018,0.460043037228827
