day;Time;inoculum;treatment;Record No;Fo;Fm;Fv;Fo/Fm;Fv/Fm;PI Inst.;Fv/Fo
27/06/2023;10:53:00;NI;Control;230;260;1270;1010;0,20;0,80;0,72;3885,00
27/06/2023;10:53:10;NI;Control;231;226;985;759;0,23;0,77;0,79;3358,00
27/06/2023;10:53:23;NI;Control;232;262;1453;1191;0,18;0,82;13308,00;4546,00
27/06/2023;10:54:01;NI;Ridomil;233;331;888;557;0,37;0,63;0,09;1683,00
27/06/2023;10:54:18;NI;Ridomil;234;223;1121;898;0,20;0,80;0,85;4027,00
27/06/2023;10:54:42;NI;Ridomil;235;323;866;543;0,37;0,63;0,07;1681,00
27/06/2023;10:55:05;NI;Kalex;236;211;862;651;0,24;0,76;0,53;3085,00
27/06/2023;10:55:20;NI;Kalex;237;262;1116;854;0,23;0,77;0,46;3260,00
27/06/2023;11:38:43;NI;Kalex;248;241;1168;927;0,21;0,79;0,58;3846,00
27/06/2023;10:56:49;NI;BV+F35;239;221;787;566;0,28;0,72;0,27;2561,00
27/06/2023;10:57:00;NI;BV+F35;240;241;953;712;0,25;0,75;0,65;2954,00
27/06/2023;10:57:11;NI;BV+F35;241;258;1224;966;0,21;0,79;10106,00;3744,00
27/06/2023;10:57:34;NI;F35;242;255;1064;809;0,24;0,76;0,52;3173,00
27/06/2023;10:57:46;NI;F35;243;236;818;582;0,29;0,71;0,23;2466,00
27/06/2023;10:57:58;NI;F35;244;175;1047;872;0,17;0,83;10229,00;4983,00
27/06/2023;10:58:15;NI;BV;245;234;1187;953;0,20;0,80;0,85;4073,00
27/06/2023;10:58:28;NI;BV;246;166;858;692;0,19;0,81;0,69;4169,00
27/06/2023;11:38:16;NI;BV;247;271;1152;881;0,24;0,77;0,67;3251,00
27/06/2023;11:39:23;AB1;Control;249;226;913;687;0,25;0,75;0,61;3040,00
27/06/2023;11:39:33;AB1;Control;250;207;901;694;0,23;0,77;10272,00;3353,00
27/06/2023;11:39:45;AB1;Control;251;218;967;749;0,23;0,78;10035,00;3436,00
27/06/2023;11:39:58;AB1;Ridomil;252;227;852;625;0,27;0,73;0,59;2753,00
27/06/2023;11:40:07;AB1;Ridomil;253;228;817;589;0,28;0,72;0,54;2583,00
27/06/2023;11:40:23;AB1;Ridomil;254;203;757;554;0,27;0,73;0,43;2729,00
27/06/2023;11:40:39;AB1;Kalex;255;224;1029;805;0,22;0,78;11336,00;3594,00
27/06/2023;11:40:48;AB1;Kalex;256;204;676;472;0,30;0,70;0,58;2314,00
27/06/2023;11:40:56;AB1;Kalex;257;221;845;624;0,26;0,74;0,74;2824,00
27/06/2023;12:04:03;AB1;BV+F35;258;227;1009;782;0,23;0,78;0,60;3445,00
27/06/2023;12:04:16;AB1;BV+F35;259;215;1336;1121;0,16;0,84;21124,00;5214,00
27/06/2023;12:04:28;AB1;BV+F35;260;222;1238;1016;0,18;0,82;11569,00;4577,00
27/06/2023;12:05:11;AB1;F35;261;184;1291;1107;0,14;0,86;15878,00;6016,00
27/06/2023;12:05:32;AB1;F35;262;232;985;753;0,24;0,76;0,90;3246,00
27/06/2023;13:03:28;AB1;F35;263;211;996;785;0,21;0,79;0,77;3720,00
27/06/2023;13:04:21;AB1;F35;264;210;1082;872;0,19;0,81;12311,00;4152,00
27/06/2023;13:04:51;AB1;BV;265;245;1140;895;0,21;0,79;15105,00;3653,00
27/06/2023;13:05:07;AB1;BV;266;276;1157;881;0,24;0,76;0,94;3192,00
27/06/2023;13:05:33;AB1;BV;267;230;1299;1069;0,18;0,82;12502,00;4648,00
27/06/2023;13:05:59;AB21;Control;268;217;1150;933;0,19;0,81;14859,00;4300,00
27/06/2023;13:06:07;AB21;Control;269;208;1158;950;0,18;0,82;11440,00;4567,00
27/06/2023;13:06:16;AB21;Control;270;177;850;673;0,21;0,79;0,82;3802,00
27/06/2023;13:06:54;AB21;Ridomil;271;224;960;736;0,23;0,77;0,72;3286,00
27/06/2023;13:07:04;AB21;Ridomil;272;203;555;352;0,37;0,63;-0,01;1734,00
27/06/2023;13:07:24;AB21;Ridomil;273;236;1379;1143;0,17;0,83;25848,00;4843,00
