day;inoculum;treatment;photo;cond;ci;stablef;tair;tleaf
06/06/2023;AB1;Control;0,48;0,008;283,74;1;30,22;31,86
06/06/2023;AB1;Control;0,91;0,0075;188,55;1;30,23;31,88
06/06/2023;AB1;Control;0,63;0,0053;190,88;1;30,2;31,63
06/06/2023;AB1;Control;1,56;0,0133;192,68;1;30,16;31,57
06/06/2023;AB1;Control;3,02;0,0249;183,5;1;30,14;31,53
06/06/2023;AB1;Ridomil;3,51;0,0324;204,44;1;30,15;31,04
06/06/2023;AB1;Ridomil;1,16;0,0123;229,84;1;30,18;31,03
06/06/2023;AB1;Ridomil;0,78;0,0071;204,98;1;30,24;31,78
06/06/2023;AB1;Kalex;2,28;0,0186;182,41;1;30,26;31,49
06/06/2023;AB1;Kalex;3,82;0,0389;217,76;1;30,28;31,48
06/06/2023;AB1;Kalex;0,95;0,0095;219,72;0,67;30,32;31,76
06/06/2023;AB1;Kalex;1,69;0,0091;85,14;1;30,33;31,8
06/06/2023;AB1;Kalex;1,07;0,0094;196,79;0,67;30,36;31,84
06/06/2023;AB1;Kalex;1,6;0,0096;116,99;1;30,37;31,84
06/06/2023;AB1;BV;1,92;0,0174;202,29;1;30,37;31,93
06/06/2023;AB1;BV;1,06;0,014;258,14;1;30,36;31,91
06/06/2023;AB1;BV;0,82;0,0074;205,22;1;30,37;31,8
06/06/2023;AB1;F35;5,22;0,04;164,19;1;30,37;31,42
06/06/2023;AB1;F35;1,39;0,0146;226,88;1;30,32;31,52
06/06/2023;AB1;F35;1,57;0,0146;208,12;0,67;30,29;31,56
06/06/2023;AB1;F35;1,36;0,0119;198,24;1;30,31;31,62
06/06/2023;AB1;BV+F35;0,82;0,015;291,09;1;30,25;31,63
06/06/2023;AB1;BV+F35;1,39;0,0088;127,81;1;30,32;31,86
06/06/2023;AB1;BV+F35;1,56;0,0094;115,97;0,67;30,34;31,95
06/06/2023;AB1;BV+F35;1,61;0,0091;100,68;1;30,35;31,97
06/06/2023;AB21;Control;2,98;0,0193;132,27;1;30,37;31,69
06/06/2023;AB21;Control;2,54;0,0069;-198,35;1;30,4;31,99
06/06/2023;AB21;Control;3,29;0,0088;-207,54;1;30,43;31,77
06/06/2023;AB21;Control;0,44;0,0048;233,86;0,67;30,63;32,39
06/06/2023;AB21;Control;0,87;0,0046;82,38;1;30,71;32,26
06/06/2023;AB21;Ridomil;0,41;0,0055;260,61;1;30,66;31,89
06/06/2023;AB21;Ridomil;2,17;0,0205;210,42;1;30,68;31,83
06/06/2023;AB21;Ridomil;1,51;0,007;42,89;1;30,68;31,87
06/06/2023;AB21;Kalex;1,08;0,0096;202,88;1;30,66;31,68
06/06/2023;AB21;Kalex;0,52;0,0175;332,31;0,67;30,64;31,84
06/06/2023;AB21;Kalex;1,24;0,016;257,09;0,67;30,64;31,84
06/06/2023;AB21;Kalex;3,67;0,0454;246,03;0,67;30,65;31,37
06/06/2023;AB21;BV+F35;3,08;0,0403;253,15;1;30,65;31,55
06/06/2023;AB21;BV+F35;0,99;0,0081;186,07;0,67;30,74;32,07
06/06/2023;AB21;BV+F35;0,11;0,0086;359,63;0,67;30,73;32,06
06/06/2023;AB21;BV+F35;1,3;0,0147;237,92;1;30,69;31,81
06/06/2023;AB21;BV+F35;1,67;0,0144;195,2;1;30,69;31,81
06/06/2023;AB21;F35;2,12;0,0107;65,41;0,67;30,57;31,78
06/06/2023;AB21;F35;-0,01;0,0098;381,45;1;30,56;31,79
06/06/2023;AB21;F35;1,85;0,0131;156,5;1;30,49;31,64
06/06/2023;AB21;F35;3,07;0,0284;204,63;0,67;30,43;31,32
06/06/2023;AB21;BV;2,63;0,0429;278,48;1;30,37;31,16
06/06/2023;AB21;BV;3,16;0,0481;271,21;1;30,35;31,09
06/06/2023;AB21;BV;1,03;0,0163;278,9;1;30,32;31,43
06/06/2023;NI;Control;4,62;0,0559;242,55;0,67;30,24;30,57
06/06/2023;NI;Control;4,98;0,0485;211,05;1;30,24;30,71
06/06/2023;NI;Control;1,02;0,0152;272,63;0,67;30,23;31,4
06/06/2023;NI;Control;0,88;0,0154;290,27;1;30,26;31,19
06/06/2023;NI;Ridomil;3,7;0,043;238,44;1;30,28;31,05
06/06/2023;NI;Ridomil;0,72;0,0147;301,95;1;30,34;31,63
06/06/2023;NI;Ridomil;3,83;0,0353;202,69;1;30,32;31,19
06/06/2023;NI;Kalex;2,69;0,0408;271,5;1;30,33;31,3
06/06/2023;NI;Kalex;0,75;0,012;280,42;1;30,39;31,6
06/06/2023;NI;Kalex;0,87;0,0141;281,03;1;30,41;31,79
06/06/2023;NI;BV;3,51;0,0324;203,64;1;30,17;31,19
06/06/2023;NI;BV;4,59;0,0428;203,22;1;30,18;31,13
06/06/2023;NI;BV;1,54;0,0324;302,57;1;30,2;31,22
06/06/2023;NI;BV;1,13;0,0069;120,15;0,67;30,31;31,87
06/06/2023;NI;F35;1;0,0115;240,54;1;30,36;31,96
06/06/2023;NI;F35;1,78;0,013;161,64;1;30,41;31,68
06/06/2023;NI;F35;4,81;0,038;171,65;1;30,41;31,55
06/06/2023;NI;BV+F35;3,73;0,0387;221,46;1;30,41;31,22
06/06/2023;NI;BV+F35;5,12;0,0455;194,03;1;30,42;31,1
06/06/2023;NI;BV+F35;5,81;0,0623;223,42;1;30,44;30,91
27/06/2023;NI;Control;2,01;0,0252;248,85;1;27,53;29,19
27/06/2023;NI;Control;2,3;0,0188;184,34;1;28,07;29,66
27/06/2023;NI;Control;1,4;0,0099;154,47;0,67;28,55;30,21
27/06/2023;NI;Control;2,1;0,0088;1,57;1;28,64;30,31
27/06/2023;NI;Ridomil;1,99;0,0187;206,56;1;28,88;30,59
27/06/2023;NI;Ridomil;1,12;0,025;305,69;1;29,03;30,43
27/06/2023;NI;Ridomil;1,62;0,0143;197,25;0,67;29,49;31,03
27/06/2023;NI;Ridomil;1,32;0,0135;221,88;1;29,5;31,06
27/06/2023;NI;Kalex;1,66;0,0162;213,06;1;29,87;31,22
27/06/2023;NI;Kalex;1,5;0,0126;186,91;1;30,35;32,01
27/06/2023;NI;Kalex;1,3;0,013;216,35;1;30,63;32,02
27/06/2023;NI;BV+F35;0,01;0,0059;371,7;0,67;30,97;32,69
27/06/2023;NI;BV+F35;-0,04;0,0059;384,12;0,67;30,97;32,69
27/06/2023;NI;BV+F35;0,43;0,0056;253,93;1;31,11;32,76
27/06/2023;NI;BV+F35;1,17;0,0127;229,4;1;31,14;32,33
27/06/2023;NI;BV+F35;0,21;0,0136;349,5;1;31,09;32,48
27/06/2023;NI;F35;2,66;0,027;216,05;1;30,93;32,03
27/06/2023;NI;F35;1,53;0,0168;230,41;1;30,85;31,95
27/06/2023;NI;F35;4,56;0,0557;238,39;1;30,81;31,75
27/06/2023;NI;BV;1,26;0,0129;219,76;0,67;30,73;32,49
27/06/2023;NI;BV;0,32;0,0134;335,36;1;30,73;32,5
27/06/2023;NI;BV;1,79;0,0239;254,91;1;30,66;31,76
27/06/2023;NI;BV;0,95;0,0112;240,82;1;30,58;32,47
27/06/2023;AB21;Control;4,62;0,0293;120,57;1;30,64;32,05
27/06/2023;AB21;Control;3,77;0,0392;217,68;1;30,64;31,9
27/06/2023;AB21;Control;4,87;0,0327;133,96;0,67;30,6;32,05
27/06/2023;AB21;Ridomil;4,89;0,0309;119,8;1;30,68;31,41
27/06/2023;AB21;Ridomil;5,68;0,0401;143,11;0,67;30,68;31,81
27/06/2023;AB21;Ridomil;1,82;0,0148;179,81;1;30,66;32,4
27/06/2023;AB21;Kalex;1,3;0,03;309,92;0,67;30,71;31,63
27/06/2023;AB21;Kalex;2,53;0,025;214,79;0,67;30,75;31,69
27/06/2023;AB21;Kalex;2,89;0,0225;169,49;1;30,85;32,28
27/06/2023;AB21;Kalex;6,24;0,04;119,57;0,67;31,1;32,55
27/06/2023;AB21;BV+F35;2,21;0,0215;212,39;1;31,3;32,92
27/06/2023;AB21;BV+F35;2,97;0,04;250,06;0,67;31,6;33
27/06/2023;AB21;BV+F35;4,62;0,0276;104,85;1;31,7;33,22
27/06/2023;AB21;BV+F35;4,29;0,0423;205,92;1;31,94;33,21
27/06/2023;AB21;F35;3,59;0,0316;187,48;0,67;32,36;33,98
27/06/2023;AB21;F35;4,77;0,0224;31,52;0,67;32,49;34,19
27/06/2023;AB21;F35;3,2;0,0178;87,1;0,67;32,57;34,06
27/06/2023;AB21;F35;2,2;0,0151;142,46;1;32,6;34,13
27/06/2023;AB21;F35;2,2;0,0183;180,42;0,67;32,66;34,19
27/06/2023;AB21;F35;4,4;0,0174;-26,51;1;32,67;34,19
27/06/2023;AB21;BV;2,7;0,0185;143,02;1;32,63;34,11
27/06/2023;AB21;BV;3,05;0,0238;167,52;1;32,6;34,38
27/06/2023;AB21;BV;1,83;0,0275;265,42;1;32,47;33,87
27/06/2023;AB1;BV;1,17;0,0224;289,46;1;32,3;33,62
27/06/2023;AB1;BV;0,33;0,021;348,75;1;32,27;33,61
27/06/2023;AB1;BV;2,78;0,0258;198,81;1;32,22;33,84
27/06/2023;AB1;F35;3,88;0,0296;162,82;1;32,27;33,65
27/06/2023;AB1;F35;2,35;0,0249;222,42;0,67;32,38;34,07
27/06/2023;AB1;F35;1,68;0,0187;230,67;1;32,43;34,19
27/06/2023;AB1;F35;4;0,0209;68,89;1;32,71;34,66
27/06/2023;AB1;BV+F35;1,56;0,0145;201,14;1;33,23;34,54
27/06/2023;AB1;BV+F35;4,43;0,0397;189,47;1;33,37;34,7
27/06/2023;AB1;BV+F35;4,24;0,0312;152,04;1;33,45;34,88
27/06/2023;AB1;Control;2,56;0,0154;109,56;1;33,54;35,06
