Inoculum,Treatment,Days,mean_class
AB1,BV,0,0
AB1,BV,3,0
AB1,BV,6,0
AB1,BV,14,0
AB1,BV,20,0
AB1,BV,25,0
AB1,BV,28,0
AB1,BV,40,1.4
AB1,BV,46,1.4
AB1,BV,53,1.6
AB1,BV,59,1.6
AB1,BV,66,2
AB1,BV,75,1.8
AB1,BV,82,1.8
AB1,BV,87,2.4
AB1,BV,97,3
AB1,BV+F35,0,0
AB1,BV+F35,3,0
AB1,BV+F35,6,0
AB1,BV+F35,14,0.2
AB1,BV+F35,20,0.2
AB1,BV+F35,25,0.2
AB1,BV+F35,28,0.2
AB1,BV+F35,40,1
AB1,BV+F35,46,1
AB1,BV+F35,53,1
AB1,BV+F35,59,1
AB1,BV+F35,66,1
AB1,BV+F35,75,1
AB1,BV+F35,82,1
AB1,BV+F35,87,1
AB1,BV+F35,97,2.8
AB1,Control,0,0.16666666666666666
AB1,Control,3,0.16666666666666666
AB1,Control,6,0.16666666666666666
AB1,Control,14,0.16666666666666666
AB1,Control,20,0.16666666666666666
AB1,Control,25,0.3333333333333333
AB1,Control,28,0.5
AB1,Control,40,1.1666666666666667
AB1,Control,46,1.1666666666666667
AB1,Control,53,1.1666666666666667
AB1,Control,59,1.1666666666666667
AB1,Control,66,1.1666666666666667
AB1,Control,75,1.5
AB1,Control,82,1.5
AB1,Control,87,1.5
AB1,Control,97,2.8333333333333335
AB1,F35,0,0
AB1,F35,3,0
AB1,F35,6,0
AB1,F35,14,0
AB1,F35,20,0
AB1,F35,25,0.2
AB1,F35,28,0.6
AB1,F35,40,1.2
AB1,F35,46,1.2
AB1,F35,53,1.2
AB1,F35,59,1.2
AB1,F35,66,1.2
AB1,F35,75,1.2
AB1,F35,82,1.2
AB1,F35,87,1.2
AB1,F35,97,3
AB1,Kalex,0,0
AB1,Kalex,3,0
AB1,Kalex,6,0
AB1,Kalex,14,0
AB1,Kalex,20,0
AB1,Kalex,25,0
AB1,Kalex,28,0
AB1,Kalex,40,1.3333333333333333
AB1,Kalex,46,1.3333333333333333
AB1,Kalex,53,1.3333333333333333
AB1,Kalex,59,2
AB1,Kalex,66,2
AB1,Kalex,75,1.6666666666666667
AB1,Kalex,82,1.6666666666666667
AB1,Kalex,87,2.6666666666666665
AB1,Kalex,97,3
AB1,Ridomil,0,0
AB1,Ridomil,3,0
AB1,Ridomil,6,0
AB1,Ridomil,14,0.8333333333333334
AB1,Ridomil,20,0.8333333333333334
AB1,Ridomil,25,1.1666666666666667
AB1,Ridomil,28,1.3333333333333333
AB1,Ridomil,40,2.1666666666666665
AB1,Ridomil,46,2.1666666666666665
AB1,Ridomil,53,2.1666666666666665
AB1,Ridomil,59,2.3333333333333335
AB1,Ridomil,66,3.1666666666666665
AB1,Ridomil,75,3.1666666666666665
AB1,Ridomil,82,3.1666666666666665
AB1,Ridomil,87,3.1666666666666665
AB1,Ridomil,97,3.1666666666666665
AB21,BV,0,0.2
AB21,BV,3,0
AB21,BV,6,0
AB21,BV,14,0
AB21,BV,20,0
AB21,BV,25,0.2
AB21,BV,28,0.2
AB21,BV,40,1
AB21,BV,46,1.2
AB21,BV,53,1.2
AB21,BV,59,1.2
AB21,BV,66,1.2
AB21,BV,75,1.4
AB21,BV,82,1.4
AB21,BV,87,1.4
AB21,BV,97,3
AB21,BV+F35,0,0.2
AB21,BV+F35,3,0
AB21,BV+F35,6,0
AB21,BV+F35,14,0.4
AB21,BV+F35,20,0.6
AB21,BV+F35,25,0.8
AB21,BV+F35,28,0.8
AB21,BV+F35,40,1.4
AB21,BV+F35,46,1.4
AB21,BV+F35,53,1.4
AB21,BV+F35,59,1.4
AB21,BV+F35,66,1.4
AB21,BV+F35,75,1.4
AB21,BV+F35,82,1.4
AB21,BV+F35,87,1.4
AB21,BV+F35,97,2.8
AB21,Control,0,0.6666666666666666
AB21,Control,3,0.6666666666666666
AB21,Control,6,0.6666666666666666
AB21,Control,14,0.6666666666666666
AB21,Control,20,0.8333333333333334
AB21,Control,25,0.8333333333333334
AB21,Control,28,1
AB21,Control,40,2
AB21,Control,46,2
AB21,Control,53,2.1666666666666665
AB21,Control,59,2.1666666666666665
AB21,Control,66,2.6666666666666665
AB21,Control,75,2.6666666666666665
AB21,Control,82,2.6666666666666665
AB21,Control,87,2.6666666666666665
AB21,Control,97,3
AB21,F35,0,0.4
AB21,F35,3,0
AB21,F35,6,0
AB21,F35,14,0
AB21,F35,20,0
AB21,F35,25,0
AB21,F35,28,0
AB21,F35,40,0.6
AB21,F35,46,0.6
AB21,F35,53,0.6
AB21,F35,59,0.6
AB21,F35,66,0.6
AB21,F35,75,0.6
AB21,F35,82,0.6
AB21,F35,87,1
AB21,F35,97,2.6
AB21,Kalex,0,0
AB21,Kalex,3,0
AB21,Kalex,6,0.16666666666666666
AB21,Kalex,14,0.16666666666666666
AB21,Kalex,20,0.16666666666666666
AB21,Kalex,25,0.3333333333333333
AB21,Kalex,28,0.3333333333333333
AB21,Kalex,40,1.3333333333333333
AB21,Kalex,46,1.3333333333333333
AB21,Kalex,53,1.3333333333333333
AB21,Kalex,59,1.3333333333333333
AB21,Kalex,66,1.3333333333333333
AB21,Kalex,75,1.5
AB21,Kalex,82,1.5
AB21,Kalex,87,1.5
AB21,Kalex,97,2.5
AB21,Ridomil,0,0
AB21,Ridomil,3,0
AB21,Ridomil,6,0.3333333333333333
AB21,Ridomil,14,0.8333333333333334
AB21,Ridomil,20,1.1666666666666667
AB21,Ridomil,25,1.3333333333333333
AB21,Ridomil,28,1.3333333333333333
AB21,Ridomil,40,2.5
AB21,Ridomil,46,2.5
AB21,Ridomil,53,2.8333333333333335
AB21,Ridomil,59,2.8333333333333335
AB21,Ridomil,66,3
AB21,Ridomil,75,3
AB21,Ridomil,82,3
AB21,Ridomil,87,3
AB21,Ridomil,97,3
NI,BV,0,0
NI,BV,3,0
NI,BV,6,0
NI,BV,14,0
NI,BV,20,0
NI,BV,25,0
NI,BV,28,0
NI,BV,40,0
NI,BV,46,0
NI,BV,53,0
NI,BV,59,0
NI,BV,66,0
NI,BV,75,0.3333333333333333
NI,BV,82,0.3333333333333333
NI,BV,87,0.3333333333333333
NI,BV,97,0.3333333333333333
NI,BV+F35,0,0
NI,BV+F35,3,0
NI,BV+F35,6,0
NI,BV+F35,14,0
NI,BV+F35,20,0
NI,BV+F35,25,0
NI,BV+F35,28,0
NI,BV+F35,40,0
NI,BV+F35,46,0
NI,BV+F35,53,0
NI,BV+F35,59,0
NI,BV+F35,66,0
