Inoculum;Treatment;Plant;16/06/2023;19/06/2023;22/06/2023;30/06/2023;06/07/2023;11/07/2023;14/07/2023;26/07/2023;01/08/2023;08/08/2023;14/08/2023;21/08/2023;30/08/2023;06/09/2023;11/09/2023;21/09/2023
AB1;Kalex;1;0;0;0;0;0;0;0;1;1;1;2;2;2;2;3;3
AB1;Kalex;2;0;0;0;0;0;0;0;2;2;2;2;2;2;2;3;3
AB1;Kalex;3;0;0;0;0;0;0;0;1;1;1;2;2;2;2;3;3
AB1;Kalex;4;0;0;0;0;0;0;0;1;1;1;1;1;1;1;2;3
AB1;Kalex;5;0;0;0;0;0;0;0;2;2;2;2;2;2;2;3;3
AB1;Kalex;6;0;0;0;0;0;0;0;1;1;1;1;1;1;1;2;3
AB1;Ridomil;1;0;0;0;0;0;1;1;2;2;2;2;3;3;3;3;3
AB1;Ridomil;2;0;0;0;1;1;1;1;1;1;1;1;3;3;3;3;3
AB1;Ridomil;3;0;0;0;1;1;2;2;3;3;3;4;4;4;4;4;4
AB1;Ridomil;4;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;3
AB1;Ridomil;5;0;0;0;1;1;1;1;3;3;3;3;3;3;3;3;3
AB1;Ridomil;6;0;0;0;1;1;1;2;2;2;2;2;3;3;3;3;3
AB1;Control;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2
AB1;Control;2;0;1;1;1;1;1;0;1;1;1;1;1;2;2;2;3
AB1;Control;3;1;0;0;0;0;0;0;1;1;1;1;1;2;2;2;3
AB1;Control;4;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;3
AB1;Control;5;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;3
AB1;Control;6;0;0;0;0;0;0;1;2;2;2;2;2;2;2;2;3
AB1;BV;1;0;0;0;0;0;0;0;2;2;3;3;4;4;4;4;4
AB1;BV;2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2
AB1;BV;3;0;0;0;0;0;0;0;1;1;1;1;1;1;1;2;3
AB1;BV;4;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;3
AB1;BV;5;0;0;0;0;0;0;0;2;2;2;2;2;2;2;3;3
AB1;F35;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;3
AB1;F35;2;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;3
AB1;F35;3;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;3
AB1;F35;4;0;0;0;0;0;0;1;2;2;2;2;2;2;2;2;3
AB1;F35;5;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;3
AB1;BV+F35;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;3
AB1;BV+F35;2;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;3
AB1;BV+F35;3;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;3
AB1;BV+F35;4;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2
AB1;BV+F35;5;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;3
AB21;Kalex;1;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;3
AB21;Kalex;2;0;0;0;0;0;0;0;1;1;1;1;1;2;2;2;2
AB21;Kalex;3;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;2
AB21;Kalex;4;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;3
AB21;Kalex;5;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2
AB21;Kalex;6;0;0;1;1;1;1;1;2;2;2;2;2;2;2;2;3
AB21;Ridomil;1;0;0;0;0;1;1;1;3;3;3;3;3;3;3;3;3
AB21;Ridomil;2;0;0;1;1;2;2;2;2;2;3;3;3;3;3;3;3
AB21;Ridomil;3;0;0;0;1;1;1;1;2;2;2;2;3;3;3;3;3
AB21;Ridomil;4;0;0;0;1;1;1;1;2;2;3;3;3;3;3;3;3
AB21;Ridomil;5;0;0;0;1;1;1;1;3;3;3;3;3;3;3;3;3
AB21;Ridomil;6;0;0;1;1;1;2;2;3;3;3;3;3;3;3;3;3
AB21;Control;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3
AB21;Control;2;0;0;0;0;0;0;0;1;1;1;1;2;2;2;2;3
AB21;Control;3;2;2;2;2;2;2;3;2;2;2;2;3;3;3;3;3
AB21;Control;4;0;0;0;0;1;1;1;2;2;2;2;3;3;3;3;3
AB21;Control;5;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;3
AB21;Control;6;1;1;1;1;1;1;1;2;2;3;3;3;3;3;3;3
AB21;BV;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;3
AB21;BV;2;1;0;0;0;0;0;0;1;2;2;2;2;2;2;2;3
AB21;BV;3;0;0;0;0;0;1;1;1;1;1;1;1;2;2;2;3
AB21;BV;4;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;3
AB21;BV;5;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;3
AB21;F35;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;3
AB21;F35;2;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;3
AB21;F35;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
AB21;F35;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
AB21;F35;5;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;3
AB21;BV+F35;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2
AB21;BV+F35;2;0;0;0;0;1;1;1;2;2;2;2;2;2;2;2;3
AB21;BV+F35;3;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;3
AB21;BV+F35;4;1;0;0;1;1;1;1;2;2;2;2;2;2;2;2;3
AB21;BV+F35;5;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;3
NI;Kalex;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NI;Kalex;2;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
NI;Kalex;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NI;Kalex;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NI;Kalex;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NI;Kalex;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NI;Ridomil;1;0;0;0;0;1;1;1;1;1;1;1;2;3;3;3;3
NI;Ridomil;2;0;0;0;0;1;1;1;1;1;1;1;2;3;3;3;3
NI;Ridomil;3;0;0;0;0;2;2;2;2;2;2;2;3;3;3;3;3
NI;Ridomil;4;0;0;0;0;1;1;1;1;1;1;1;3;3;3;3;3
NI;Ridomil;5;0;0;0;0;1;1;1;2;2;2;2;3;3;3;3;3
NI;Ridomil;6;0;0;0;0;1;2;2;2;2;2;2;3;3;3;3;3
NI;Control;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NI;Control;2;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1
NI;Control;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NI;Control;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NI;Control;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NI;Control;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NI;BV;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NI;BV;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
NI;BV;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NI;BV;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NI;BV;5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
NI;BV;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NI;F35;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
NI;F35;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NI;F35;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
NI;F35;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NI;F35;5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
NI;F35;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NI;BV+F35;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
NI;BV+F35;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
NI;BV+F35;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
NI;BV+F35;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
NI;BV+F35;5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
NI;BV+F35;6;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
